listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohosts,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
25187434,"Sayat Nova, big balcony, 17th floor, 3 rooms",Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjUxODc0MzQ%3D/original/4a383c1e-c1ef-4f9c-a45c-972e3623417f.jpeg,60,135708052,Syuzanna,"",true,40.1774,44.5264,4,2,2,1.0,false,"",true,7,Moderate,AMD,20,0,63,4.98,4.9,5.0,4.9,5.0,4.8,4.9,6032.0,2360202.0,78.0,30447.5,0.2,0.0,16.5,6466.3,0.0,0.0,76,0,289,365,1485.0,574452.0,71.6,27814.6,0.2,0.0,16.5,6382.8,0.0,0.0,21,0,69,90
25277279,Welcome City Center Apartments  (One Bedroom),Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/8e2fa5d4-b547-4fdb-bf5c-93da7ad8b8ea.jpg,28,57805852,Yerani,"",true,40.1810,44.5120,3,1,3,1.0,false,"",true,1,Flexible,AMD,0,0,424,4.79,4.8,4.8,4.8,4.8,4.9,4.8,2598.0,1009555.0,84.8,33119.7,0.1,0.0,7.1,2765.9,0.0,0.0,29,0,336,365,1160.0,449329.0,89.0,34575.2,0.1,0.0,12.9,4992.5,0.0,0.0,13,0,77,90
25278719,Welcome City Center Apartments (Deluxe),Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/5f9e4445-64d1-46d3-8f0e-9b8542b5c947.jpg,11,57805852,Yerani,"",true,40.1803,44.5122,4,1,3,1.0,false,"",true,1,Flexible,AMD,0,,19,4.84,5.0,4.8,4.8,5.0,5.0,4.8,2847.0,1119579.0,93.4,36454.0,0.1,0.0,7.8,3067.3,0.0,0.0,31,0,334,365,205.0,80177.0,94.5,36691.5,0.0,0.0,2.3,890.9,0.0,0.0,2,0,88,90
25283761,Welcome City Center Apartments (Studio),Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/1b3abd8d-78e2-4c7b-aad8-8bb08830e9ae.jpg,19,57805852,Yerani,"",true,40.1803,44.5123,2,1,1,1.0,false,"",true,1,Flexible,AMD,0,0,304,4.87,4.8,4.9,4.8,4.9,5.0,4.8,5258.0,2044131.0,78.2,30545.0,0.2,0.0,14.4,5600.4,0.0,0.0,66,0,299,365,2070.0,801397.0,81.9,31807.6,0.3,0.0,23.0,8904.4,0.0,0.0,26,0,64,90
25305388,Nice  apartment in the center of Yerevan,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/b88ce8c2-a26d-4871-b64d-b2abb83fcf10.jpg,16,191144078,Kristina,"",true,40.1918,44.5306,2,1,1,1.5,false,"",true,3,Firm,AMD,0,0,10,5.0,5.0,5.0,5.0,5.0,4.7,4.8,3106.0,1205710.0,61.1,23871.4,0.1,0.3,8.5,3303.3,21.7,8431.5,49,222,316,365,235.0,91909.0,59.4,23085.4,0.0,0.1,2.6,1021.2,5.3,2088.8,4,46,86,90
25336090,Happy Home and TOURS,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/38af52f8-a7dc-47e1-b5dd-f991cee60c00.jpg,13,48492077,Luxury Apartment & Tours,"",false,40.1788,44.5178,4,1,4,1.0,false,"",false,2,Flexible,AMD,0,0,9,4.67,4.8,5.0,4.8,4.9,4.9,4.9,494.0,189667.0,67.6,26414.7,0.0,0.1,1.4,519.6,4.5,1740.1,12,256,353,365,494.0,189667.0,41.7,16186.2,0.1,0.2,5.5,2107.4,8.1,3109.3,12,29,78,90
25370073,Comfy apartment in Old City Yerevan,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-25370073/original/8a82618a-d2fe-4087-ad12-6db7f29b6ea2.jpeg,37,180832630,Tigran,"",true,40.1818,44.5189,4,2,2,1.5,false,"",true,3,Strict,AMD,20,0,10,4.6,4.7,5.0,4.9,4.9,4.9,4.6,4487.0,1743361.0,58.0,22633.7,0.2,0.2,12.3,4776.3,12.7,4938.7,74,12,291,365,705.0,270676.0,56.8,22076.0,0.1,0.0,7.8,3007.5,0.0,0.0,12,0,78,90
25410796,Studio & Balcony Vol.1,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/56f5ffe2-0888-4352-9cb8-c30acea87345.jpg,41,191827640,Anna,"",false,40.1836,44.5131,2,1,2,1.5,false,"",false,2,Firm,AMD,0,0,69,4.97,5.0,5.0,5.0,5.0,5.0,4.9,6461.0,2508624.0,54.7,21346.6,0.3,0.5,17.7,6872.9,27.3,10584.9,120,128,245,365,195.0,75207.0,60.2,23386.5,0.0,0.1,2.2,835.6,5.9,2279.0,3,57,87,90
25499651,"WELCOMING in Yerevan-Sunny, Cozy and Well Located!",Entire rental unit,entire_home,https://a0.muscache.com/im/ml/photo_enhancement/pictures/57e3f1a7-fa79-4d04-943c-22c020aa8ced.jpg,21,95225983,Mané,"",true,40.2022,44.4988,2,1,2,1.0,false,"",,3,Moderate,AMD,0,0,43,4.77,4.8,4.7,4.7,4.9,4.8,4.7,8164.0,3197683.0,44.3,17300.9,0.5,0.6,22.4,8760.8,23.9,9350.0,196,23,169,365,1593.0,622183.0,52.8,20465.6,0.4,0.6,17.7,6913.1,23.8,9286.3,38,23,52,90
25556078,A room in the heart of Yerevan,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/76aa8261-8d43-4581-a8e2-9051670cecf8.jpg,21,192803132,Lilit,"",false,40.1769,44.5191,,,2,0.0,false,"",false,1,Strict,AMD,0,11,125,4.88,4.9,4.9,4.9,4.9,5.0,4.9,2548.0,991477.0,19.4,7590.0,0.4,0.0,7.0,2716.4,0.0,0.0,132,0,233,365,628.0,243982.0,20.7,8028.2,0.3,0.0,7.0,2710.9,0.0,0.0,30,0,60,90
25692826,Sunny apartment in the center at Republic square,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-25692826/original/2d9f914d-d3d1-4b6f-9bd8-07068a487f1d.jpeg,41,44820319,Lusine,"",false,40.1758,44.5102,2,1,1,1.0,false,"",false,5,Moderate,AMD,10,0,21,4.9,5.0,5.0,4.9,5.0,5.0,4.9,454.0,174312.0,41.3,16113.0,0.0,0.1,1.2,477.6,2.5,968.4,12,185,353,365,454.0,174312.0,37.2,14439.2,0.1,0.0,5.0,1936.8,0.0,0.0,12,0,78,90
25887448,Entire home (3 bedroom) in downtown,Entire apartment,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjU4ODc0NDg=/original/88966d2d-9590-42e2-bb89-b1316f1dd7fe.jpeg,25,184953367,Levon,"",false,40.1882,44.5094,5,3,10,2.0,false,"",false,,Flexible,AMD,40,0,22,4.95,5.0,5.0,5.0,5.0,5.0,4.9,7551.0,2941268.0,67.4,26368.5,0.3,0.3,20.7,8058.3,22.7,8859.2,112,33,253,365,5933.0,2304983.0,67.4,26182.6,1.0,0.0,65.9,25610.9,0.0,0.0,88,0,2,90
25904910,Lovely flat with great view to Ararat,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-25904910/original/3927fe0a-dded-4264-99e9-f258826ac777.jpeg,28,39959793,Olga,"",true,40.1861,44.5197,4,1,2,1.0,false,"",true,2,Moderate,AMD,25,0,122,4.96,4.9,5.0,4.9,5.0,5.0,4.9,13469.0,5249021.0,50.4,19669.5,0.7,0.0,36.9,14380.9,0.0,0.0,267,0,98,365,3448.0,1338314.0,53.9,20933.8,0.7,0.0,38.3,14870.2,0.0,0.0,65,0,25,90
25906281,Bright and cozy apartment in the heart of Yerevan.,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-25906281/original/951a0f89-c3f6-48d9-9604-597f8b084ca5.jpeg,24,6040922,Artak,"",true,40.1845,44.5259,4,2,3,1.0,false,"",false,2,Moderate,AMD,20,0,13,4.92,5.0,5.0,4.8,5.0,4.8,4.8,5167.0,2003398.0,56.4,22017.7,0.2,0.5,14.2,5488.8,26.5,10273.8,90,170,275,365,1188.0,458975.0,57.0,22132.5,0.2,0.3,13.2,5099.7,17.5,6749.6,21,22,69,90
25907608,"Studio apartment with balcony, 10min from center",Entire loft,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-25907608/original/1724dd86-66bf-4ea8-a4de-b77420959e73.jpeg,10,194695575,Zhasmena,90685063:Elen,false,40.2048,44.4836,3,,2,1.0,false,"",false,2,Flexible,AMD,15,0,42,4.81,4.9,4.9,4.7,4.9,4.7,4.7,1722.0,678741.0,41.0,16021.6,0.1,0.1,4.7,1859.6,6.0,2365.0,41,78,324,365,95.0,36474.0,38.8,15059.5,0.0,0.2,1.1,405.3,7.9,3039.5,2,78,88,90
26034098,Luxury Apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/967790c5-ca7e-40e8-8c01-29ef9e69b2fd.jpg,21,85099194,Arevhat,"",false,40.1816,44.5055,3,1,3,1.0,false,"",false,7,Strict,AMD,0,0,15,4.8,4.8,4.9,5.0,4.8,5.0,4.8,5123.0,2000306.0,40.4,15757.7,0.3,0.4,14.0,5480.3,17.1,6667.7,127,65,238,365,2401.0,930760.0,45.1,17511.1,0.6,0.0,26.7,10341.8,0.0,0.0,53,0,37,90
26043028,Newly reconstructed  apartment in th heart of city,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/a5133a28-e6e1-4e8b-b368-8305166727f2.jpg,30,33646628,Kristina,"",false,40.1748,44.5120,,,3,0.0,false,"",false,1,Moderate,AMD,0,0,18,5.0,5.0,5.0,4.9,5.0,4.9,4.8,505.0,193886.0,42.3,16531.0,0.0,0.0,1.4,531.2,1.7,635.7,12,60,353,365,505.0,193886.0,42.6,16560.9,0.1,0.0,5.6,2154.3,0.0,0.0,12,0,78,90
26093715,Armenia Apartment for Daily Rent in Yerevan Cascad,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/5ab66ba1-632b-4dad-b108-f07f473bac36.jpg,32,196126618,Aleksey,"",false,40.1889,44.5141,5,2,3,1.0,false,"",false,5,Moderate,AMD,10,0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,799.0,306768.0,66.0,25797.2,0.0,0.0,2.2,840.5,2.4,910.3,12,28,353,365,799.0,306768.0,64.8,25152.4,0.1,0.0,8.9,3408.5,0.0,0.0,12,0,78,90
26277446,Comfortable bungalow with private bathroom!,Private room in bungalow,private_room,https://a0.muscache.com/im/pictures/13a6f191-8d99-4a42-8cad-59f7bf166056.jpg,6,66340406,Zara,"",false,40.1983,44.5031,,,1,0.0,false,"",,1,Flexible,AMD,3,,16,4.69,4.8,4.6,4.6,4.9,4.8,4.9,218.0,86171.0,15.5,6048.6,0.0,0.0,0.6,236.1,0.0,0.0,13,0,352,365,0.0,0.0,12.9,5009.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
26342230,In the ❤ of Yerevan ✔️ Perfect Location #4 MyStreet,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-26342230/original/6c0eac14-b951-4e1a-b1fd-83dce5cc7198.jpeg,19,65011405,MyStreet,"",true,40.1801,44.5113,3,1,1,1.0,false,"",true,14,Moderate,AMD,25,0,49,4.73,4.8,4.9,4.7,5.0,5.0,4.7,6422.0,2510671.0,70.9,27694.3,0.2,0.3,17.6,6878.6,23.4,9129.7,86,90,279,365,732.0,285908.0,71.6,27808.3,0.1,0.2,8.1,3176.8,12.0,4687.0,11,29,79,90
26392958,Apartment on Kievyan street,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/fabfa146-69db-40f3-a103-f2740f55facd.jpg,13,184290457,Vee,"",false,40.1949,44.4872,2,1,2,1.0,false,"",false,1,Flexible,AMD,20,0,6,4.17,4.7,4.5,4.3,4.8,4.3,4.0,484.0,185830.0,38.9,15220.8,0.0,0.0,1.3,509.1,0.0,0.0,12,0,353,365,484.0,185830.0,41.2,16017.1,0.1,0.0,5.4,2064.8,0.0,0.0,12,0,78,90
