price,condition,district,max_floor,street,num_rooms,region,area,num_bathrooms,building_type,floor,ceiling_height
95000.0,newly repaired,Arabkir,14,Griboedov St,3,Yerevan,82.0,2,monolit,8,3.0
79000.0,newly repaired,Davtashen,9,Davtashen 3 district,4,Yerevan,115.0,1,panel,3,2.8
150000.0,newly repaired,Center,4,Baghramyan Ave (Kentron),4,Yerevan,130.0,2,stone,4,3.0
100000.0,newly repaired,Arabkir,10,Mamikoniants St,3,Yerevan,96.0,1,panel,6,2.8
150000.0,good,Arabkir,16,Kievyan St,3,Yerevan,100.0,1,monolit,9,3.0
84000.0,zero condition,Center,6,D. Demirchyan St,2,Yerevan,60.0,2,monolit,3,3.0
110000.0,newly repaired,Center,10,NarDos St,4,Yerevan,92.0,1,panel,8,2.8
75000.0,newly repaired,Center,9,M.Khorenatsi St,3,Yerevan,91.0,1,panel,4,2.8
60000.0,good,Center,9,Kajaznuni St,2,Yerevan,72.0,2,panel,4,2.8
95000.0,newly repaired,Center,9,Teryan St,2,Yerevan,75.0,1,panel,3,2.8
45000.0,zero condition,Erebuni,10,Sari Tagh 7th st,2,Yerevan,106.0,1,monolit,5,3.2
45000.0,good,Center,16,Bryusov St,3,Yerevan,91.0,1,panel,14,2.8
68000.0,newly repaired,Center,9,E. Qochar St,3,Yerevan,80.0,1,panel,9,2.8
45000.0,zero condition,Arabkir,5,A. Khachatrian St,3,Yerevan,72.0,1,stone,1,2.8
72000.0,newly repaired,Qanaqer-Zeytun,9,K. Ulnetsi St,3,Yerevan,94.0,1,panel,3,3.0
85000.0,newly repaired,Center,22,Tsitsernakaberd Highway,2,Yerevan,60.0,1,monolit,10,2.8
105000.0,newly repaired,Arabkir,9,Hambardzumyan St,3,Yerevan,91.0,1,monolit,7,3.0
48000.0,good,Qanaqer-Zeytun,16,Rubinyants St,4,Yerevan,96.0,1,panel,14,2.8
45000.0,newly repaired,Arabkir,5,A. Avetisyan St,2,Yerevan,39.0,1,stone,2,2.8
220000.0,newly repaired,Center,4,Mashtots Ave,3,Yerevan,100.0,1,stone,2,2.8
44800.0,good,Malatia-Sebastia,14,Z.Andranik St,3,Yerevan,80.0,1,panel,14,2.8
74000.0,newly repaired,Davtashen,9,Davtashen 3 district,4,Yerevan,110.0,1,panel,3,2.8
65000.0,good,Nor Norq,2,Vilnyus St,4,Yerevan,116.0,1,stone,1,2.8
48000.0,newly repaired,Achapnyak,14,Shiraz St,4,Yerevan,109.0,2,panel,1,2.8
105000.0,good,Center,11,Zakyan St,3,Yerevan,93.0,1,panel,10,2.8
76500.0,zero condition,Center,10,Moskovyan St,3,Yerevan,90.0,1,stone,9,2.8
50000.0,newly repaired,Nor Norq,9,H. Avetisyan St,3,Yerevan,86.0,1,panel,1,2.8
42000.0,newly repaired,Shengavit,6,Bagratuniats Ave,2,Yerevan,57.0,1,stone,6,3.2
40000.0,good,Malatia-Sebastia,9,A. Babajanyan St,2,Yerevan,68.0,1,panel,2,2.8
280000.0,good,Center,14,Aram St,3,Yerevan,145.0,2,monolit,4,3.0
109000.0,zero condition,Center,16,Aram St,2,Yerevan,78.0,1,monolit,6,3.2
105000.0,newly repaired,Avan,14,Tsarav Aghbyur St,4,Yerevan,121.0,2,monolit,6,3.0
135000.0,good,Center,9,Tumanyan St,3,Yerevan,90.0,1,monolit,4,2.8
54500.0,zero condition,Arabkir,5,V.Papazyan St,3,Yerevan,72.0,1,stone,3,2.8
300000.0,newly repaired,Arabkir,13,Hambardzumyan St,3,Yerevan,126.0,2,monolit,2,3.0
43000.0,newly repaired,Shengavit,5,Bagratuniats Ave,1,Yerevan,48.0,1,other,2,2.8
82000.0,newly repaired,Arabkir,9,Hambardzumyan St,3,Yerevan,96.0,1,panel,1,3.0
135000.0,newly repaired,Center,12,Sayat Nova Ave,3,Yerevan,70.0,1,panel,10,2.8
140000.0,newly repaired,Arabkir,8,Komitas Ave,3,Yerevan,135.0,2,stone,2,3.0
63000.0,newly repaired,Center,12,M.Khorenatsi St,2,Yerevan,51.0,1,monolit,12,3.0
42000.0,zero condition,Arabkir,9,V.Vagharshyan St,2,Yerevan,44.0,1,monolit,8,3.2
61990.0,good,Davtashen,9,Davtashen 1 district,4,Yerevan,100.0,1,panel,9,2.8
51000.0,newly repaired,Center,14,Tigran Mets Ave,2,Yerevan,42.0,1,panel,13,2.8
80000.0,newly repaired,Center,4,Khanjyan St,3,Yerevan,81.0,1,stone,4,3.2
70000.0,newly repaired,Achapnyak,4,Leningradyan St,3,Yerevan,76.0,1,stone,2,2.8
43000.0,good,Center,10,Zavaryan St,2,Yerevan,70.0,1,panel,9,2.8
41000.0,newly repaired,Achapnyak,5,Leningradyan St,2,Yerevan,58.0,1,stone,3,2.8
130000.0,newly repaired,Center,9,Saryan St,3,Yerevan,72.0,1,panel,2,2.8
125000.0,zero condition,Center,5,Antarayin St,3,Yerevan,108.0,2,monolit,1,3.2
90000.0,newly repaired,Avan,14,Tsarav Aghbyur St,3,Yerevan,110.0,2,monolit,11,3.0
60000.0,good,Center,5,Hanrapetutyan St,1,Yerevan,47.0,1,stone,4,2.8
90000.0,newly repaired,Arabkir,3,Baghramyan av(Arabkir),4,Yerevan,98.0,1,stone,3,3.0
53000.0,newly repaired,Center,14,Argishti St,2,Yerevan,56.0,1,monolit,12,3.0
50000.0,newly repaired,Malatia-Sebastia,14,Z.Andranik St,2,Yerevan,64.0,1,panel,6,2.8
65000.0,newly repaired,Arabkir,15,Mamikoniants St,2,Yerevan,71.0,1,other,7,2.8
63000.0,good,Arabkir,9,Adonts St,3,Yerevan,84.0,1,panel,6,2.8
95000.0,newly repaired,Center,9,Nalbandyan St,2,Yerevan,62.0,1,other,6,2.8
48000.0,good,Avan,9,Dushamb St,3,Yerevan,84.0,1,panel,3,2.8
87000.0,newly repaired,Center,15,E. Qochar St,4,Yerevan,120.0,1,other,11,2.8
