Listing ID,Listing Name,Property Type,Room Type,Host ID,Host Name,Is Superhost,Latitude,Longitude,Max Guests,Bedrooms,Beds,Bathrooms,Is Instant Bookable,Cancellation Policy,Cleaning Fee,Extra Guest Fee,Number of Reviews,Overall Rating,Location Rating,Value Rating,TTM Avg Daily Rate,TTM Occupancy Rate,L90D Avg Daily Rate,L90D Occupancy Rate,Price Per Guest,City Category
9946682,VD city center studio: steps from Republic Square,entire rental unit,entire_home,51117809,Yevgenia,TRUE,40.1801,44.5174,3,1,1,1.5,TRUE,firm,10,0,37,4.95,5,4.9,50,0.005,48.3,0.006999999999999999,16.666666666666668,Yerevan Area
10027719,Modern apt. in the city center,entire rental unit,entire_home,48030247,Arsen,FALSE,40.1897,44.518,3,NA,1,1,FALSE,moderate,0,0,25,4.76,5,4.8,44,0,44,0.001,14.666666666666666,Yerevan Area
10136579,Swan Lake apartment,entire rental unit,entire_home,492619720,Marianna,FALSE,40.1841,44.5156,4,1,1,1,FALSE,moderate,20,0,56,4.86,5,4.8,51.6,0.005,56.5,0.005,12.9,Yerevan Area
10243069,Northern Ave best center location/accommodation,entire rental unit,entire_home,52647019,Pedro,FALSE,40.1832,44.5148,4,2,3,2,FALSE,moderate,68,0,57,4.95,5,4.9,98.1,0.002,100.2,0.004,24.525,Yerevan Area
10442548,Sunny Studio near Republic Square by Kantar,room in aparthotel,hotel_room,23926479,NA,TRUE,40.1767,44.5112,2,0,1,1,NA,moderate,NA,NA,4,5,5,4.8,88.7,0.001,0,0,44.35,Yerevan Area
10484760,2 Bedroom Apartment Flat in Garegin Nzhdeh,entire rental unit,entire_home,35808498,Maggie,FALSE,40.1514,44.4842,4,2,2,1,FALSE,moderate,0,0,7,5,4.7,4.4,40.2,0.001,43.1,0.001,10.05,Yerevan Area
10531529,Sunny 1BR Apartment with Gorgeous View by Kantar,entire rental unit,entire_home,288342671,David,FALSE,40.175,44.5114,4,1,2,1,TRUE,moderate,0,0,16,4.88,4.8,4.1,84.5,0,78.2,0.001,21.125,Yerevan Area
10626980,Spectacular Location! Newly Renovated in Cascade,entire rental unit,entire_home,501775156,Gurgen,FALSE,40.1901,44.5161,4,2,1,1,FALSE,firm,0,0,9,5,5,4.9,71.9,0.004,73.9,0,17.975,Yerevan Area
11004744,Brand New 1BDR at RIS Dalma Collection,entire rental unit,entire_home,195185372,Mariam,TRUE,40.1789,44.4888,4,1,2,1,TRUE,moderate,0,0,58,4.91,4.6,4.8,84.2,0.003,96.8,0.002,21.05,Yerevan Area
11374239,Heart of Old Yerevan,entire rental unit,entire_home,3970319,Mariam,FALSE,40.1822,44.5189,3,1,2,1,FALSE,flexible,10,0,1,NA,NA,NA,63.6,0,64.9,0.001,21.2,Yerevan Area
