Date,Year,Month,Company,Position,Position_Standardized,Salary_AMD,Experience_Years,Experience_Level,Salary_Category
2019-10-18T12:45:30Z,2019,10,HelpSystems,QA Engineer I,QA/Testing,350000,1.5,Junior (0-2 years),200K-500K
2019-10-25T14:07:14Z,2019,10,MG,QA Lead,QA/Testing,1300000,9,Senior (5-10 years),1M-2M
2019-10-26T19:32:17Z,2019,10,Synopsys,QA engineer 2,QA/Testing,420000,4,Mid-Level (2-5 years),200K-500K
2019-10-29T11:03:20Z,2019,10,FINCA Armenia,System Administrator,DevOps/System Admin,950000,5,Mid-Level (2-5 years),500K-1M
2019-10-29T11:03:42Z,2019,10,Finca,Junior Loan Engineer,Other,1450000,2,Junior (0-2 years),1M-2M
2019-10-29T11:04:08Z,2019,10,FINCA Armenia,Network Engineer,Other,750000,5,Mid-Level (2-5 years),500K-1M
2019-10-29T11:04:29Z,2019,10,FINCA Armenia,Tech support,Other,350000,2,Junior (0-2 years),200K-500K
2019-10-29T11:05:18Z,2019,10,FINCA Armenia,DevOPS,DevOps/System Admin,1250000,8,Senior (5-10 years),1M-2M
2019-10-29T11:06:00Z,2019,10,FINCA Armenia,C# Developer,Software Engineer/Developer,1100000,8,Senior (5-10 years),1M-2M
2019-10-29T11:06:42Z,2019,10,FINCA Armenia,System Administrator,DevOps/System Admin,950000,9,Senior (5-10 years),500K-1M
2019-11-03T00:45:52Z,2019,11,German company,Senior data analist,Other,2800000,6,Senior (5-10 years),Above 2M
2019-11-05T11:49:05Z,2019,11,Not Specified,Senior QA Automation Engineer,QA/Testing,700000,5,Mid-Level (2-5 years),500K-1M
2019-11-11T12:27:58Z,2019,11,OMD,C++ Software Engineer,Software Engineer/Developer,250000,0,Entry Level (0 years),200K-500K
2019-11-12T07:53:32Z,2019,11,InnLine,FrontEnd developer,Software Engineer/Developer,400000,2,Junior (0-2 years),200K-500K
2019-11-13T23:02:33Z,2019,11,Armsoft,Senior developer,Software Engineer/Developer,680000,9,Senior (5-10 years),500K-1M
2019-11-13T23:03:35Z,2019,11,Armsoft,Junior developer,Software Engineer/Developer,200000,1.5,Junior (0-2 years),200K-500K
2019-11-14T12:30:28Z,2019,11,Questrade,Software Developer,Software Engineer/Developer,2650000,6,Senior (5-10 years),Above 2M
2019-11-14T16:45:12Z,2019,11,RealTime,Network and System administrator,DevOps/System Admin,400000,6,Senior (5-10 years),200K-500K
2019-11-15T05:56:26Z,2019,11,freelane,illustrator,Other,150000,4,Mid-Level (2-5 years),Under 200K
2019-11-15T18:51:36Z,2019,11,Freelance,Full stack engineer,Full Stack Developer,700000,2,Junior (0-2 years),500K-1M
2019-11-19T14:26:41Z,2019,11,STDev Armenia,Backend Developer,Software Engineer/Developer,650000,3.5,Mid-Level (2-5 years),500K-1M
2019-11-19T14:27:27Z,2019,11,STDev Armenia,JS Dev,Other,600000,2,Junior (0-2 years),500K-1M
2019-11-20T22:22:12Z,2019,11,Product owner company,React Developer,Software Engineer/Developer,600000,2,Junior (0-2 years),500K-1M
2019-11-20T22:56:52Z,2019,11,PicsArt,Data Scientist,Data Scientist/Analyst,200000,1,Junior (0-2 years),200K-500K
2019-11-21T13:50:31Z,2019,11,Not Specified,software engineer,Software Engineer/Developer,400000,2,Junior (0-2 years),200K-500K
2019-11-21T15:28:13Z,2019,11,Telecomunications,IT Project Manager,Project Manager,300000,1,Junior (0-2 years),200K-500K
2019-11-21T23:50:09Z,2019,11,Somewhere no named,Middle iOS Dev,Mobile Developer,350000,2,Junior (0-2 years),200K-500K
2019-11-22T16:41:43Z,2019,11,Workfront,Software engineer II,Software Engineer/Developer,1100000,4,Mid-Level (2-5 years),1M-2M
2019-11-27T00:32:16Z,2019,11,Teamviewer Armenia,Junior 1,Other,410000,1,Junior (0-2 years),200K-500K
2019-11-27T00:58:31Z,2019,11,BetConstruct,IT Support Specialist,Other,300000,2,Junior (0-2 years),200K-500K
2019-11-29T16:05:03Z,2019,11,Not Specified,IT Project Manager,Project Manager,600000,2,Junior (0-2 years),500K-1M
2019-11-30T15:29:49Z,2019,11,Energize Global Services (EGS),Junior Java dev,Other,120000,1,Junior (0-2 years),Under 200K
2019-12-01T16:30:43Z,2019,12,Not Specified,Android developer,Software Engineer/Developer,700000,3,Mid-Level (2-5 years),500K-1M
2019-12-02T12:18:55Z,2019,12,Not Specified,Junior Backend Developer,Software Engineer/Developer,200000,1,Junior (0-2 years),200K-500K
2019-12-03T17:57:03Z,2019,12,Priotix,Node.js Developer,Software Engineer/Developer,800000,4,Mid-Level (2-5 years),500K-1M
2019-12-04T14:07:10Z,2019,12,Not Specified,Software Engineer (Front End),Software Engineer/Developer,1000000,4,Mid-Level (2-5 years),1M-2M
2019-12-04T14:30:49Z,2019,12,VMware,Member of Technical Staff 2,Other,950000,4,Mid-Level (2-5 years),500K-1M
2019-12-04T16:12:56Z,2019,12,Not Specified,Senior Ruby On Rails Developer,Software Engineer/Developer,2250000,5,Mid-Level (2-5 years),Above 2M
2019-12-05T18:30:28Z,2019,12,Not Specified,Architect,Other,300000,11,Expert (10+ years),200K-500K
2019-12-06T12:51:20Z,2019,12,Not Specified,Senior QA Engineer,QA/Testing,820000,6,Senior (5-10 years),500K-1M
2019-12-06T12:52:25Z,2019,12,Not Specified,iOS Developer,Software Engineer/Developer,702778,3,Mid-Level (2-5 years),500K-1M
2019-12-06T15:27:50Z,2019,12,VMware,Senior MTS,Other,2400000,9,Senior (5-10 years),Above 2M
2019-12-07T02:17:15Z,2019,12,EPAM Systems,Middle Software Engineer (JavaScript),Software Engineer/Developer,650000,3,Mid-Level (2-5 years),500K-1M
2019-12-09T14:38:42Z,2019,12,Not Specified,UX/UI Designer,UI/UX Designer,600000,3,Mid-Level (2-5 years),500K-1M
2019-12-09T23:15:42Z,2019,12,BetConstruct,mid .Net developer,Software Engineer/Developer,750000,3,Mid-Level (2-5 years),500K-1M
2019-12-10T09:24:06Z,2019,12,Workfront Armenia,Software Engineer II,Software Engineer/Developer,750000,4,Mid-Level (2-5 years),500K-1M
2019-12-10T11:28:46Z,2019,12,OMD,Middle C++ Developer,Software Engineer/Developer,500000,2.5,Mid-Level (2-5 years),500K-1M
2019-12-10T12:04:30Z,2019,12,Workfront,Product Manager,Product Manager/Owner,1200000,4,Mid-Level (2-5 years),1M-2M
2019-12-10T13:13:48Z,2019,12,Self Employeer,QA Engineer,QA/Testing,128000,2,Junior (0-2 years),Under 200K
2019-12-10T22:59:32Z,2019,12,Toptal,Software Engineer,Software Engineer/Developer,3300000,3,Mid-Level (2-5 years),Above 2M
2019-12-12T12:38:29Z,2019,12,PicsArt,Senior Software Engineer,Software Engineer/Developer,100000,6,Senior (5-10 years),Under 200K
2019-12-17T10:07:17Z,2019,12,Synopsys,R&D Engineer II,Other,570000,3,Mid-Level (2-5 years),500K-1M
